,dataset,index,pipe1,pipe2,p,smd,nsub,p_star,dof,ci,dataset_idx
6,AlexandreMotorImagery,6,BTTDA,PARAFACDA,0.296875,0.3017112440026136,8.0,,7.0,0.6698346895648992,0
15,BNCI2014-001,6,BTTDA,PARAFACDA,0.01953125,0.8770750078827702,9.0,*,8.0,0.6198493458409474,1
24,Schirrmeister2017,6,BTTDA,PARAFACDA,0.0038,0.8982125097700542,14.0,**,13.0,0.4733018587556191,2
33,Weibo2014,6,BTTDA,PARAFACDA,0.001953125,1.5697578277306385,10.0,**,9.0,0.5796812075496328,3
42,Zhou2016,6,BTTDA,PARAFACDA,0.0625,5.0043750843753525,4.0,,3.0,1.1766817174009132,4
-1,\textbf{Meta-effect},5,BTTDA,PARAFACDA,7.397228748645292e-06,1.730226334752286,9.0,***,8.0,0.6198493458409474,5
