,dataset,index,pipe1,pipe2,p,smd,nsub,p_star,dof,ci,dataset_idx
3,AlexandreMotorImagery,3,BTTDA,HODA,0.5859375,-0.07326729380562973,8.0,,7.0,0.6698346895648992,0
12,BNCI2014-001,3,BTTDA,HODA,0.044921875,0.7721675195328992,9.0,*,8.0,0.6198493458409474,1
21,Schirrmeister2017,3,BTTDA,HODA,0.0003,1.3030075831249497,14.0,***,13.0,0.4733018587556191,2
30,Weibo2014,3,BTTDA,HODA,0.017578125,0.7964856968789857,10.0,*,9.0,0.5796812075496328,3
39,Zhou2016,3,BTTDA,HODA,0.125,0.7403093047216693,4.0,,3.0,1.1766817174009132,4
-1,\textbf{Meta-effect},5,BTTDA,HODA,0.00012976044086512571,0.7077405620905749,9.0,***,8.0,0.6198493458409474,5
