,dataset,index,pipe1,pipe2,p,smd,nsub,p_star,dof,ci,dataset_idx
5,AlexandreMotorImagery,5,PARAFACDA,HODA,0.76171875,-0.260063094351132,8.0,,7.0,0.6698346895648992,0
14,BNCI2014-001,5,PARAFACDA,HODA,0.603515625,-0.09717820963031758,9.0,,8.0,0.6198493458409474,1
23,Schirrmeister2017,5,PARAFACDA,HODA,0.0073,0.8071102114310034,14.0,**,13.0,0.4733018587556191,2
32,Weibo2014,5,PARAFACDA,HODA,0.791015625,-0.25383559263984046,10.0,,9.0,0.5796812075496328,3
41,Zhou2016,5,PARAFACDA,HODA,0.9375,-3.814777809485149,4.0,,3.0,1.1766817174009132,4
-1,\textbf{Meta-effect},5,PARAFACDA,HODA,0.6524180089534756,-0.7237488989350871,9.0,,8.0,0.6198493458409474,5
