time,Fz,Cz,Pz,Oz,P3,P4,PO7,PO8
-0.19921875,0.024448841173807523,0.01987426756500099,0.03130706716092391,0.0503823400777037,0.042787245746467306,0.0393290342515229,0.0716990768978576,0.07297277448969908
-0.1953125,0.026341911762983727,0.021413130824043947,0.03373116896909778,0.05428343996527474,0.04610025783335914,0.04237427475572986,0.0772507249280352,0.07862304585160018
-0.19140625,0.025736291320299642,0.020920827736858882,0.03295566486372081,0.053035421387903625,0.045040376761562584,0.04140006026887022,0.07547467362201132,0.07681544644810856
-0.1875,0.02244618002578136,0.018246321786818953,0.028742633162437414,0.046255404839712355,0.03928244396433911,0.0361075009891465,0.06582603617744098,0.06699540477939081
-0.18359375,0.01730260557053498,0.014065150821807038,0.0221562181934587,0.03565591200072049,0.03028081607681088,0.027833415572331432,0.05074190667642142,0.05164331184914772
-0.1796875,0.012139398819499547,0.00986802106694995,0.015544662446131952,0.025015964411068126,0.02124482989529497,0.019527750083625506,0.03560020189752322,0.036232624012200176
-0.17578125,0.009389105493085026,0.0076323294351254845,0.012022876028083829,0.01934836646455551,0.01643161695596973,0.015103557515772081,0.027534646562799026,0.028023785958453118
-0.171875,0.01136910920962464,0.00924185883377504,0.014558295902133978,0.023428608386666383,0.019896765124371996,0.018288641712160825,0.03334123732656735,0.03393352798752858
-0.16796875,0.01947211814012917,0.015828730326461482,0.024934307063517736,0.04012668242125983,0.03407761894891337,0.03132334924771385,0.05710425199367819,0.05811868319938185
-0.1640625,0.0335385941241384,0.027263256541232295,0.04294661692938462,0.06911381689178597,0.05869497243793376,0.053951040968058805,0.0983558336997703,0.1001030724978591
-0.16015625,0.05164927330270075,0.04198528458232431,0.06613758074536236,0.10643495329532016,0.0903899746163006,0.08308434473747184,0.15146750342864834,0.15415825771469827
-0.15625,0.07044239680453757,0.05726206708800419,0.09020243396662408,0.1451624171977528,0.12327930676292453,0.11331545124448894,0.20658053756505979,0.21025033447585884
-0.15234375,0.08588128252995375,0.06981221645219193,0.10997213450991694,0.17697770715585648,0.15029847588721168,0.138150838324691,0.25185687491102726,0.25633099198785203
-0.1484375,0.09424274338698524,0.0766091758919174,0.12067908983226516,0.19420838270889362,0.16493163457198534,0.15160129862579197,0.27637781840894604,0.2812875550262106
-0.14453125,0.09302589631943192,0.07562001513861105,0.11912090513988005,0.19170079212926794,0.16280206693863875,0.1496438528647559,0.2728092738379928,0.27765560162151814
-0.140625,0.0815180030144802,0.06626533632925202,0.10438489539410511,0.16798618673874444,0.14266241521454504,0.13113195507230557,0.23906105184323678,0.24330785208803718
-0.13671875,0.06087869053317263,0.0494878058532322,0.07795598122584124,0.12545424965537677,0.10654212445615485,0.09793102861976877,0.17853385259058996,0.18170541693507403
-0.1328125,0.03376211665795381,0.027444956529620868,0.04323284130691718,0.06957444043109717,0.05908615463567912,0.054310611119490204,0.09901134490064578,0.10077022949417369
-0.12890625,0.0036286476046143434,0.002949698929555211,0.004646532048013796,0.00747764516972893,0.006350396652976542,0.005837136107800234,0.010641432623970104,0.010830471630640659
-0.125,-0.026036726552547407,-0.021165048380566986,-0.03334037756985708,-0.053654535037139794,-0.045566160622456664,-0.04188334656873849,-0.07635573240349913,-0.07771215848606516
-0.12109375,-0.0523909449157145,-0.042588183646330435,-0.06708730637683402,-0.10796333782536749,-0.09168795855885037,-0.08427742415051398,-0.15364254579708359,-0.15637193939710414
-0.1171875,-0.07364036491708248,-0.059861669399197126,-0.09429747649392084,-0.15175255896338058,-0.12887598188626725,-0.11845978775681942,-0.21595896271264792,-0.219795367684128
-0.11328125,-0.08913415427969085,-0.07245645150533164,-0.11413748524091716,-0.1836809957467267,-0.1559912448101386,-0.14338350240450382,-0.26139630904253863,-0.26603987635098747
-0.109375,-0.09917452103991309,-0.08061818590476832,-0.12699430840257264,-0.2043714317778722,-0.173562611394118,-0.15953469301166479,-0.290840858951924,-0.29600749940073
-0.10546875,-0.10463958233231097,-0.08506068382985177,-0.133992386963655,-0.21563342045283207,-0.1831268576779621,-0.16832592564242077,-0.30686777563460055,-0.3123191163467709
-0.1015625,-0.10654850512992198,-0.08661243811047825,-0.1364367818723622,-0.219567183989966,-0.18646761645868537,-0.17139666397270048,-0.31246591447597893,-0.31801670274944627
-0.09765625,-0.10569716124564366,-0.08592038369670263,-0.1353466387854496,-0.21781279713195545,-0.18497770781777945,-0.17002717811465118,-0.30996926625448395,-0.31547571666123986
-0.09375,-0.1024571858465606,-0.08328663625434274,-0.13119780817305582,-0.21113609705025738,-0.179307519942995,-0.16481526188272255,-0.300467632996515,-0.3058053152926732
-0.08984375,-0.09677178525180352,-0.07866501761100153,-0.1239175588807484,-0.19942004314543738,-0.16935764790559915,-0.15566958211366,-0.28379454874993826,-0.28883601999041275
-0.0859375,-0.08831654696450641,-0.071791816935729,-0.11309051473062937,-0.1819961141791282,-0.1545603538488649,-0.14206825937890244,-0.25899856836986146,-0.2635995315358741
-0.08203125,-0.07674551483205505,-0.06238582272999338,-0.09827365943237965,-0.15815140841368702,-0.13431022694021522,-0.12345481081865728,-0.22506516472731164,-0.22906334606886958
-0.078125,-0.06192869506094212,-0.0503413488672777,-0.07930052703386536,-0.12761802281602286,-0.10837971586852291,-0.09962009528408089,-0.1816131316445535,-0.18483939356883639
-0.07421875,-0.044109235375344724,-0.03585604702038836,-0.056482463151041884,-0.0908970037016843,-0.07719435757280735,-0.07095524523492713,-0.12935547033521289,-0.1316534081752252
