,block,rank,train_score,val_score,train_scores,val_scores,mse,F_tr,F_rt,dataset,subject,session
13,14,1,0.9290908163265307,0.8768897959183672,"[[0.85811224 0.85765306 0.8585     0.85889796]
 [0.88766327 0.88742857 0.88745918 0.88609184]
 [0.87844898 0.87872449 0.87787755 0.87779592]
 [0.88928571 0.88910204 0.8887449  0.88792857]
 [0.87093878 0.87128571 0.87139796 0.87065306]]","[[0.85811224 0.85765306 0.8585     0.85889796]
 [0.88766327 0.88742857 0.88745918 0.88609184]
 [0.87844898 0.87872449 0.87787755 0.87779592]
 [0.88928571 0.88910204 0.8887449  0.88792857]
 [0.87093878 0.87128571 0.87139796 0.87065306]]",6.53045339619542e-11,0.024237403924555884,0.0005531218583394724,BNCI2014-008,7,0
14,15,1,0.9291607142857142,0.8769775510204081,"[[0.85738776 0.85732653 0.85709184 0.85857143]
 [0.88793878 0.88779592 0.88670408 0.88612245]
 [0.87859184 0.87852041 0.87847959 0.87717347]
 [0.8895     0.88892857 0.88914286 0.88856122]
 [0.87146939 0.8715     0.87197959 0.87083673]]","[[0.85738776 0.85732653 0.85709184 0.85857143]
 [0.88793878 0.88779592 0.88670408 0.88612245]
 [0.87859184 0.87852041 0.87847959 0.87717347]
 [0.8895     0.88892857 0.88914286 0.88856122]
 [0.87146939 0.8715     0.87197959 0.87083673]]",6.509302667525436e-11,0.024239090497261008,0.000553167915023475,BNCI2014-008,7,0
15,16,1,0.9292140306122448,0.8770020408163266,"[[0.85740816 0.85641837 0.85647959 0.85865306]
 [0.88747959 0.88756122 0.88718367 0.88588776]
 [0.87903061 0.87846939 0.87819388 0.87786735]
 [0.88942857 0.88903061 0.88913265 0.88855102]
 [0.87166327 0.87182653 0.87193878 0.87057143]]","[[0.85740816 0.85641837 0.85647959 0.85865306]
 [0.88747959 0.88756122 0.88718367 0.88588776]
 [0.87903061 0.87846939 0.87819388 0.87786735]
 [0.88942857 0.88903061 0.88913265 0.88855102]
 [0.87166327 0.87182653 0.87193878 0.87057143]]",6.493650697270877e-11,0.024240185842787847,0.0005531907566406228,BNCI2014-008,7,0
16,17,1,0.9292234693877551,0.8769020408163266,"[[0.85720408 0.85653061 0.85777551 0.85839796]
 [0.88753061 0.88802041 0.88683673 0.88656122]
 [0.87902041 0.87918367 0.87795918 0.8777449 ]
 [0.88968367 0.88973469 0.8897449  0.88916327]
 [0.87107143 0.87071429 0.87059184 0.87059184]]","[[0.85720408 0.85653061 0.85777551 0.85839796]
 [0.88753061 0.88802041 0.88683673 0.88656122]
 [0.87902041 0.87918367 0.87795918 0.8777449 ]
 [0.88968367 0.88973469 0.8897449  0.88916327]
 [0.87107143 0.87071429 0.87059184 0.87059184]]",6.475298103098557e-11,0.024241836782900806,0.0005532345998179195,BNCI2014-008,7,0
17,18,1,0.9292767857142856,0.8769,"[[0.85715306 0.85680612 0.85778571 0.85827551]
 [0.88787755 0.88663265 0.88691837 0.88623469]
 [0.87882653 0.87914286 0.87855102 0.87779592]
 [0.88973469 0.88935714 0.88930612 0.88892857]
 [0.87090816 0.87077551 0.87014286 0.87134694]]","[[0.85715306 0.85680612 0.85778571 0.85827551]
 [0.88787755 0.88663265 0.88691837 0.88623469]
 [0.87882653 0.87914286 0.87855102 0.87779592]
 [0.88973469 0.88935714 0.88930612 0.88892857]
 [0.87090816 0.87077551 0.87014286 0.87134694]]",6.461444702356696e-11,0.024243066252806617,0.0005532572466714462,BNCI2014-008,7,0
18,19,2,0.9293484693877552,0.8769285714285715,"[[0.85734694 0.85676531 0.85676531 0.85920408]
 [0.88741837 0.88859184 0.88638776 0.88568367]
 [0.87878571 0.87919388 0.878      0.87743878]
 [0.88965306 0.88964286 0.89052041 0.88846939]
 [0.87087755 0.87044898 0.8704898  0.87083673]]","[[0.85734694 0.85676531 0.85676531 0.85920408]
 [0.88741837 0.88859184 0.88638776 0.88568367]
 [0.87878571 0.87919388 0.878      0.87743878]
 [0.88965306 0.88964286 0.89052041 0.88846939]
 [0.87087755 0.87044898 0.8704898  0.87083673]]",6.435740417357934e-11,0.024243883546202927,0.0005534172529771586,BNCI2014-008,7,0
19,20,4,0.9295358418367348,0.8768979591836736,"[[0.85640816 0.85632653 0.85864286 0.85869388]
 [0.88861224 0.88783673 0.88703061 0.88704082]
 [0.8789898  0.8792449  0.87872449 0.8785102 ]
 [0.88963265 0.88953061 0.88923469 0.88893878]
 [0.87046939 0.87082653 0.87085714 0.87096939]]","[[0.85640816 0.85632653 0.85864286 0.85869388]
 [0.88861224 0.88783673 0.88703061 0.88704082]
 [0.8789898  0.8792449  0.87872449 0.8785102 ]
 [0.88963265 0.88953061 0.88923469 0.88893878]
 [0.87046939 0.87082653 0.87085714 0.87096939]]",6.330299214585964e-11,0.024243695215297976,0.000554019453739044,BNCI2014-008,7,0
20,21,1,0.9295377551020408,0.8770408163265305,"[[0.85876531 0.85878571 0.85918367 0.8567449 ]
 [0.88737755 0.88737755 0.88680612 0.88603061]
 [0.8787449  0.8784898  0.87876531 0.87845918]
 [0.88920408 0.88932653 0.89038776 0.88893878]
 [0.87111224 0.87032653 0.86943878 0.87045918]]","[[0.85876531 0.85878571 0.85918367 0.8567449 ]
 [0.88737755 0.88737755 0.88680612 0.88603061]
 [0.8787449  0.8784898  0.87876531 0.87845918]
 [0.88920408 0.88932653 0.89038776 0.88893878]
 [0.87111224 0.87032653 0.86943878 0.87045918]]",6.324094385018663e-11,0.024245680747726747,0.0005540434106123852,BNCI2014-008,7,0
21,22,1,0.9295801020408163,0.8769510204081634,"[[0.85840816 0.85891837 0.85838776 0.85706122]
 [0.88736735 0.88718367 0.88695918 0.88529592]
 [0.87882653 0.87806122 0.87738776 0.87804082]
 [0.88936735 0.88939796 0.88962245 0.88930612]
 [0.87078571 0.87066327 0.87011224 0.87085714]]","[[0.85840816 0.85891837 0.85838776 0.85706122]
 [0.88736735 0.88718367 0.88695918 0.88529592]
 [0.87882653 0.87806122 0.87738776 0.87804082]
 [0.88936735 0.88939796 0.88962245 0.88930612]
 [0.87078571 0.87066327 0.87011224 0.87085714]]",6.320078239749293e-11,0.024247363121471143,0.0005540693422480147,BNCI2014-008,7,0
22,23,1,0.9295926020408164,0.8770775510204082,"[[0.85913265 0.85880612 0.85829592 0.85756122]
 [0.88736735 0.88742857 0.88680612 0.88570408]
 [0.87877551 0.87877551 0.87884694 0.87880612]
 [0.88937755 0.88942857 0.88916327 0.88818367]
 [0.87073469 0.87036735 0.8702449  0.87167347]]","[[0.85913265 0.85880612 0.85829592 0.85756122]
 [0.88736735 0.88742857 0.88680612 0.88570408]
 [0.87877551 0.87877551 0.87884694 0.87880612]
 [0.88937755 0.88942857 0.88916327 0.88818367]
 [0.87073469 0.87036735 0.8702449  0.87167347]]",6.316921411037851e-11,0.024249230293757862,0.000554091173121004,BNCI2014-008,7,0
