,index,block,rank,F_tr,F_rt,log_like,pseudo_R2,pseudo_R2_adj,aic,bic,mse,nmse,err_cross_corr,select,subject,session
35,5,6,"(1, 1)",1.4739630861978765e-05,0.0002894455132314817,-33371.755799193415,-16.635020472928936,-16.851844495137076,66845.51159838683,67168.99642840467,7.078456505427576e-11,0.9435788554397679,0.0005863645805459665,False,4,0
36,6,7,"(2, 2)",1.4345685467182379e-05,0.00029663526484702117,-33727.24254226099,-16.82287441833036,-17.059423185948162,67564.48508452198,67913.3412737569,7.06904891929465e-11,0.9423247968255841,0.0005754978000636568,False,4,0
37,7,8,"(1, 1)",1.435103713319381e-05,0.0002976764433453333,-33738.23239306467,-16.82868191150164,-17.069668198502384,67588.46478612933,67943.66381516853,7.05545284523465e-11,0.9405124005792878,0.0006203026546673163,False,4,0
38,8,9,"(1, 1)",1.4420918728128865e-05,0.0002987711361522148,-33824.306961864466,-16.874167285184605,-17.12014206433852,67762.61392372893,68124.1557925724,7.02937965286248e-11,0.9370367681448257,0.0006508560434683688,False,4,0
39,9,10,"(2, 2)",1.4409815381308327e-05,0.00030162337057205746,-33852.3132603526,-16.88896697538314,-17.152675768398698,67826.6265207052,68213.53974876576,7.017045886269422e-11,0.9353926411580715,0.0006472293701577826,False,4,0
40,0,1,"(1, 1)",0.00012764775887781412,0.0002551739484614589,-3188.3986432640054,-0.6848821406987096,-0.6852834942338926,6378.797286528011,6385.140126332282,4.4491332783324116e-11,0.9910507338041031,0.0008162250175133141,False,5,0
41,1,2,"(2, 2)",7.784704487345969e-05,0.0002647286221919226,-3592.5728807688374,-0.8984645783719596,-0.90072788855123,7195.145761537675,7226.8599605590325,4.4228189534650974e-11,0.9851891807019928,0.0010052929077114402,False,5,0
42,2,3,"(4, 4)",3.921499076718938e-05,0.0003150486195141495,-13099.019632808195,-5.92206549723865,-5.9568580715426265,26240.03926561639,26373.23890150609,4.281998528000217e-11,0.9538212316519512,0.0005044491031520959,False,5,0
43,3,4,"(1, 1)",3.9723828622568204e-05,0.0003194689919505274,-13197.790082828273,-5.974259901354078,-6.010992895806984,26439.580165656545,26579.122641350517,4.262969720644274e-11,0.9495825378853773,0.0006202238963030713,False,5,0
44,4,5,"(1, 1)",4.017700654124541e-05,0.00031959386754680774,-13285.861985989353,-6.0208007493897995,-6.059468952750902,26617.723971978707,26763.60928747695,4.262086091187539e-11,0.9493857081734483,0.0005749845511007939,False,5,0
45,5,6,"(4, 4)",3.1302644535331234e-05,0.0003381643289581017,-17371.88105705202,-8.1800227694883,-8.266085482952253,34821.76211410404,35069.13286647063,4.0989743682851805e-11,0.9130523410743572,0.0007118634409849611,False,5,0
46,6,7,"(2, 2)",3.135738687494143e-05,0.00034455810207006,-17556.555417655756,-8.277612364404089,-8.373603060185939,35199.11083531151,35471.85294689518,4.070585293007595e-11,0.9067286343823392,0.0006250313030402241,False,5,0
47,7,8,"(1, 1)",3.078015099472202e-05,0.00036707347161636986,-17810.252216555426,-8.411676279693205,-8.511342647035324,35708.50443311085,35987.589384498795,4.039112987935062e-11,0.8997181338903576,0.0006007245291552078,False,5,0
48,8,9,"(2, 2)",2.9850143286224544e-05,0.00038631268259467803,-17953.831817187915,-8.487549698277617,-8.597258776937537,36003.66363437583,36308.11994498086,4.028841940468448e-11,0.8974302435324092,0.0005685846968931359,False,5,0
49,9,10,"(4, 4)",2.594300321146517e-05,0.0003937573821023951,-18221.863388374884,-8.629188702042223,-8.778225721856177,36571.72677674977,36977.66852422314,3.9306427694053606e-11,0.875556239214538,0.0005868052042412178,False,5,0
50,0,1,"(1, 1)",0.0001387020665469762,0.0002772720358877171,-3691.3681784048813,-0.9506721129986768,-0.9511367800098725,7384.736356809763,7391.079196614034,5.096646430684846e-11,0.9959544849106821,0.0018022342592899393,False,6,0
51,1,2,"(2, 2)",8.08884846191324e-05,0.0003653298248419913,-12199.675451717878,-5.446814715075112,-5.454500474153647,24409.350903435756,24441.065102457113,5.029023267860264e-11,0.9827399931434088,0.00047017199340851893,False,6,0
52,2,3,"(8, 8)",6.485232555490879e-06,0.0004329545876560317,-77773.54111649335,-40.0987662169903,-40.78540419979232,155685.0822329867,156122.7381794814,4.6168146033337676e-11,0.9021887770177413,0.0004386542437891759,False,6,0
53,3,4,"(8, 8)",5.425729669486361e-06,0.0004644526224530391,-77964.46747806901,-40.199659628636624,-41.54731204639576,156194.93495613802,157038.53265010612,4.3725161111636094e-11,0.8544495072365546,0.0005465547509326014,False,6,0
54,4,5,"(1, 1)",5.431920715879028e-06,0.0004748558676225937,-77968.874792899,-40.20198863666741,-41.56018457204587,156205.749585798,157055.69011957038,4.3648573689601525e-11,0.8529528841629225,0.0005419052664319971,False,6,0
55,5,6,"(2, 2)",5.43813924991903e-06,0.00048246019825408723,-77971.74089459263,-40.20350320372671,-41.6036714977711,156219.48178918526,157094.79368217473,4.344674142660857e-11,0.8490088054385818,0.0005413274138453406,False,6,0
56,6,7,"(4, 4)",5.438140296014554e-06,0.0004910007656710208,-77991.08809022962,-40.213727064682814,-41.7828034473679,156290.17618045924,157266.97351031704,4.3014974799058195e-11,0.8405714944539591,0.0005280057198098254,False,6,0
57,7,8,"(2, 2)",5.439746721440589e-06,0.0004957784466896623,-77991.66711428891,-40.21403304502144,-41.825470120278396,156299.33422857782,157301.50291765272,4.290291967494811e-11,0.8383817839269986,0.0005253275065287173,False,6,0
58,8,9,"(4, 4)",5.437864486928795e-06,0.000499434053933907,-78002.01457588206,-40.21950107307894,-42.001412423815765,156352.02915176412,157455.68327770734,4.2722846949894295e-11,0.8348629163624826,0.0005291145266185001,False,6,0
59,9,10,"(1, 1)",5.438798533542779e-06,0.0005039892673929717,-78005.50611425277,-40.22134614682993,-42.01402397379197,156361.01222850554,157471.00919425304,4.2681164254365937e-11,0.8340483794288491,0.0005298148246892776,False,6,0
60,0,1,"(1, 1)",0.0001336467345174346,0.00026716618643056694,-8400.408381807883,-3.439124350709961,-3.4401817886210404,16802.816763615767,16809.159603420037,1.536882659562506e-10,0.9958312686145075,0.0006389784613620442,False,7,0
61,1,2,"(8, 8)",7.580808413668612e-06,0.00041881220708925597,-198975.77250494692,-104.14705437903267,-105.80030995103004,398081.54500989383,398493.82959717145,1.410411538659099e-10,0.9138836352095017,0.00045275910768212326,False,7,0
62,2,3,"(1, 1)",7.600074130158906e-06,0.00042135738873651197,-199067.7502813637,-104.1956592525648,-105.87553186584068,398267.5005627274,398686.1279898093,1.4093625037972246e-10,0.9132039075082219,0.0004693057419746875,False,7,0
63,3,4,"(8, 8)",6.694778741699185e-06,0.00043632666060580314,-219316.3461747642,-114.89585750634721,-118.59860055766822,438892.6923495284,439717.26152408373,1.3497685518027467e-10,0.8745896903152798,0.0006569806752459848,False,7,0
64,4,5,"(2, 2)",6.744833078088131e-06,0.00044040399925031646,-219547.22718118195,-115.01786461018338,-118.8423157437048,439362.4543623639,440212.3948961363,1.3435613186554932e-10,0.8705676806835393,0.0006472588048216182,False,7,0
65,5,6,"(4, 4)",6.803720775847391e-06,0.00044214338602408746,-219949.93634482982,-115.23067284203967,-119.53657576283639,440199.87268965965,441151.2986603004,1.3344108250540006e-10,0.8646385698337772,0.0006144513834130281,False,7,0
66,6,7,"(8, 8)",6.4714610686670575e-06,0.00045155796685098876,-inf,-inf,-inf,inf,inf,1.2940759956573132e-10,0.8385034032499555,0.0007663837822842811,False,7,0
67,7,8,"(8, 8)",6.236727245990171e-06,0.00045921422246530524,-inf,-inf,-inf,inf,inf,1.252607245714768e-10,0.8116335068358089,0.0007795659037664929,False,7,0
68,8,9,"(2, 2)",6.279445041192512e-06,0.00045934557621059747,-inf,-inf,-inf,inf,inf,1.2483879234092133e-10,0.808899574574884,0.0007965484134669929,False,7,0
69,9,10,"(8, 8)",6.1681065329876665e-06,0.0004714990627975479,-225095.4161239512,-117.94975786093582,-128.63146464003879,450882.8322479024,453077.4548201803,1.2017099686632253e-10,0.7786543462864343,0.0009029291208512138,False,7,0
70,0,1,"(8, 8)",2.008854977497279e-05,0.000683629098239816,-84323.31698937101,-43.55993956088985,-44.249621817696855,168774.63397874203,169180.5757262154,3.268665531708933e-11,0.9054165352021538,0.0003471217499910041,False,8,0
71,1,2,"(8, 8)",1.8118609173213404e-05,0.0007319708141516061,-84672.36044668406,-43.74438860674456,-45.15123747475323,169600.72089336812,170412.60438831488,3.108152408601582e-11,0.8609545875453828,0.0003678374981539991,False,8,0
72,2,3,"(8, 8)",1.5300271216989764e-05,0.0007965483529463157,-84890.94069131624,-43.85989547765243,-46.00940881224421,170165.88138263248,171383.7066250526,2.9689196158240256e-11,0.8223872665392271,0.0004257185606933866,False,8,0
73,3,4,"(2, 2)",1.530772918495979e-05,0.0008188596460319273,-84885.04574239497,-43.85678034204077,-46.05311532756163,170162.09148478994,171405.28808642714,2.9618588118011605e-11,0.8204314320703571,0.0004250534900327056,False,8,0
74,4,5,"(8, 8)",1.514532460510739e-05,0.0008363020741700885,-84286.19881931924,-43.54032477967428,-46.480280210675886,169092.39763863847,170741.53598774906,2.8793404388701203e-11,0.7975739391317389,0.0004753560726376515,False,8,0
75,5,6,"(8, 8)",1.5043366051123647e-05,0.000847803883843212,-82595.57536741713,-42.64692919792224,-46.29637566505174,165839.15073483426,167894.23083141822,2.6391770699582044e-11,0.7310489664010427,0.00063799046699039,False,8,0
76,6,7,"(4, 4)",1.5138177258497466e-05,0.0008500366245373511,-81200.98974439528,-41.90997228857565,-45.69058658712858,163081.97948879056,165238.54502224285,2.611686103298693e-11,0.7234340007397504,0.0006153250186313163,False,8,0
77,7,8,"(2, 2)",1.5152893054532441e-05,0.0008544323436646371,-81101.0911369129,-41.85718171924602,-45.681532046462785,162890.1822738258,165072.1191664952,2.601620568417012e-11,0.720645859331852,0.0006105132494513317,False,8,0
78,8,9,"(2, 2)",1.5153755188135575e-05,0.0008549129286438876,-81095.05995338415,-41.85399459161493,-45.72654460924203,162886.1199067683,165093.42815865474,2.5816806377938527e-11,0.715122521834683,0.0006284120298016459,False,8,0
79,9,10,"(2, 2)",1.515541829763192e-05,0.0008571327986215942,-81091.41314472086,-41.85206746659865,-45.77302607024895,162886.82628944173,165119.50590054528,2.577018476719222e-11,0.7138311086613872,0.000622299398117487,False,8,0
