,subject,session,block,select,rank,n_features,fold,hoda,train_score,val_score,test_score
36,1,0,7,False,4,341,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8984225563013203,0.8010752688172041,0.8308246181709755
37,1,0,7,False,4,341,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9004327647991853,0.8219654983998127,0.8280195690826164
38,1,0,7,False,4,341,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9020668925137566,0.821028803372102,0.8432154255612859
39,1,0,7,False,4,341,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8936788924354278,0.8232144251034268,0.8410950734944949
40,1,0,8,False,8,405,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8962497715301663,0.8387568383323901,0.8360261068348225
41,1,0,8,False,8,405,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.900205354062267,0.8034804753820033,0.8326799262294178
42,1,0,8,False,8,405,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.904249319521413,0.8241355085473421,0.8251151284911264
43,1,0,8,False,8,405,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.9056562946717059,0.8176567012723441,0.8425859460414573
44,1,0,8,False,8,405,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8974112440519316,0.8251970962454142,0.844573776104074
45,1,0,9,False,1,406,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8982124129248928,0.838709677419355,0.835705845324734
46,1,0,9,False,1,406,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9007468397857125,0.8042507702949129,0.8328787092356793
47,1,0,9,False,1,406,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9045156363209118,0.823323706189993,0.8219898178926792
48,1,0,9,False,1,406,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9056376916599762,0.8183123877917414,0.8430497730560678
49,1,0,9,False,1,406,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8977480564748272,0.8261494028569196,0.844562732603726
50,2,0,0,False,8,64,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.7744755086547984,0.7088967971530249,0.6980789429769022
51,2,0,0,False,8,64,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.7716038148481452,0.7114202523455192,0.7000814755916797
52,2,0,0,False,8,64,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.7740588597929754,0.7478441007852772,0.7103591797469349
53,2,0,0,False,8,64,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.7660818831265639,0.7320743203096144,0.7074240951791974
54,2,0,0,False,8,64,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.7794490355906731,0.70649258884553,0.7167299820361045
