,block,rank,fold,n_features_orig,n_features,hoda,train_score,val_score,dataset,subject,session
31,1,"(8, 8)",2,65,24,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8649413265306123,0.7984489795918367,BNCI2014-008,1,0
32,1,"(1, 1)",3,2,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8367901785714287,0.7901632653061224,BNCI2014-008,1,0
33,1,"(2, 2)",3,5,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8361052295918368,0.7903061224489796,BNCI2014-008,1,0
34,1,"(4, 4)",3,17,6,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8362551020408162,0.7927346938775511,BNCI2014-008,1,0
35,1,"(8, 8)",3,65,27,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.865955994897959,0.8158571428571428,BNCI2014-008,1,0
36,1,"(1, 1)",4,2,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8286926020408163,0.8034081632653062,BNCI2014-008,1,0
37,1,"(2, 2)",4,5,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8279190051020409,0.8012959183673469,BNCI2014-008,1,0
38,1,"(4, 4)",4,17,8,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8290988520408162,0.7983877551020407,BNCI2014-008,1,0
39,1,"(8, 8)",4,65,34,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8620350765306122,0.8009591836734695,BNCI2014-008,1,0
40,2,"(1, 1)",0,66,28,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8569757653061224,0.8388367346938777,BNCI2014-008,1,0
41,2,"(2, 2)",0,69,28,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8573494897959184,0.837030612244898,BNCI2014-008,1,0
42,2,"(4, 4)",0,81,30,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8596332908163264,0.8348571428571429,BNCI2014-008,1,0
43,2,"(8, 8)",0,129,55,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8672455357142858,0.8446122448979592,BNCI2014-008,1,0
44,2,"(1, 1)",1,66,25,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8611779336734695,0.8410816326530612,BNCI2014-008,1,0
45,2,"(2, 2)",1,69,25,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8610389030612244,0.8435816326530612,BNCI2014-008,1,0
46,2,"(4, 4)",1,81,28,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.862529336734694,0.841204081632653,BNCI2014-008,1,0
47,2,"(8, 8)",1,129,45,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8692346938775511,0.8456326530612245,BNCI2014-008,1,0
